task,stage,pairing_definition,pair_side,stimulus_category,stimulus,n
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Abuse,70356
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Angry,69885
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Annoy,70140
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Awful,69877
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Bothersome,70303
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Despise,70116
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Detest,70742
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Dirty,69737
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Disaster,69839
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Disgust,69966
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Evil,70375
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Failure,70329
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Grief,70546
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Gross,69782
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Hate,70808
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Hatred,69902
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Horrible,70262
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Horrific,69308
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Humiliate,70313
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Hurtful,70193
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Nasty,69541
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Negative,70054
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Pain,70383
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Poison,70354
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Rotten,69535
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Sadness,70355
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Scorn,70499
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Selfish,70045
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Sickening,69989
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Tragic,70266
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Ugly,70018
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Bad,Yucky,70208
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Old people,of1.jpg,374413
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Old people,of2.jpg,374665
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Old people,of3.jpg,374154
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Old people,om1.jpg,374349
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Old people,om2.jpg,374159
Age,Congruent,"Old people/Bad,Young people/Good",Old people/Bad,Old people,om3.jpg,374042
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Adore,70406
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Appealing,70677
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Attractive,69980
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Beautiful,70570
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Celebrate,69720
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Cheer,70387
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Cheerful,70320
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Cherish,69869
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Delight,70143
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Delightful,70540
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Enjoy,69887
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Excellent,70309
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Excitement,70639
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Fabulous,69846
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Fantastic,70101
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Friend,70235
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Friendship,70147
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Glad,69899
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Glorious,69826
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Happy,69654
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Joyful,70132
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Joyous,70425
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Laughing,69803
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Love,69738
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Lovely,69819
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Magnificent,69841
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Pleasing,70466
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Pleasure,69767
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Smiling,70096
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Spectacular,69796
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Terrific,69778
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Good,Triumph,70404
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Young people,yf1.jpg,374093
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Young people,yf2.jpg,374190
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Young people,yf3.jpg,374402
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Young people,ym1.jpg,374020
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Young people,ym2.jpg,374101
Age,Congruent,"Old people/Bad,Young people/Good",Young people/Good,Young people,ym3.jpg,374416
Age,Incongruent,"Young people/Bad,Old people/Good",Old people/Good,Good,Adore,70019
Age,Incongruent,"Young people/Bad,Old people/Good",Old people/Good,Good,Appealing,70168
Age,Incongruent,"Young people/Bad,Old people/Good",Old people/Good,Good,Attractive,69799
Age,Incongruent,"Young people/Bad,Old people/Good",Old people/Good,Good,Beautiful,70440
Age,Incongruent,"Young people/Bad,Old people/Good",Old people/Good,Good,Celebrate,69246
Age,Incongruent,"Young people/Bad,Old people/Good",Old people/Good,Good,Cheer,70203
