theta_true,rep,theta_map,theta_mean,theta_sd,hdi_low,hdi_high,hdi_width,covered,bias,abs_error
5.0,0,70.75,64.67828256791222,18.664017872686053,27.75,96.75,69.0,False,65.75,65.75
5.0,1,46.0,48.636688228021356,17.090236907580596,18.5,78.5,60.0,False,41.0,41.0
5.0,2,31.5,39.43144026341278,13.743014647050707,16.75,64.5,47.75,False,26.5,26.5
5.0,3,30.75,38.72138688198677,13.598583966177447,16.5,63.75,47.25,False,25.75,25.75
5.0,4,24.0,28.620785523344725,8.460393731792747,15.0,44.5,29.5,False,19.0,19.0
5.0,5,77.75,71.32660625040323,18.810785484586876,33.75,104.0,70.25,False,72.75,72.75
5.0,6,29.0,36.769265570580394,12.728616715128332,16.0,60.25,44.25,False,24.0,24.0
5.0,7,28.75,36.25410247283749,12.460794850843996,16.0,59.25,43.25,False,23.75,23.75
5.0,8,33.5,41.283202703123216,14.479269036670717,17.25,67.75,50.5,False,28.5,28.5
5.0,9,67.0,61.49181140863516,18.896422458115723,24.75,93.75,69.0,False,62.0,62.0
5.0,10,29.75,37.39763851411902,12.982622065717132,16.25,61.25,45.0,False,24.75,24.75
5.0,11,31.5,39.413399287114586,13.828820804375233,16.75,64.75,48.0,False,26.5,26.5
5.0,12,32.25,40.23969881146679,14.112164388837153,17.0,66.0,49.0,False,27.25,27.25
5.0,13,40.5,46.048535746562486,16.32087669824361,18.0,75.0,57.0,False,35.5,35.5
5.0,14,54.5,53.135572789493516,18.128702823455594,20.0,84.25,64.25,False,49.5,49.5
5.0,15,25.0,30.520416964388463,9.55280868393085,15.25,48.5,33.25,False,20.0,20.0
5.0,16,24.75,30.12073190914224,9.283725573502098,15.25,47.5,32.25,False,19.75,19.75
5.0,17,27.0,33.55178403851271,11.015458682850177,15.75,54.0,38.25,False,22.0,22.0
5.0,18,31.0,39.17773264023139,13.836389683820588,16.5,64.5,48.0,False,26.0,26.0
5.0,19,81.25,75.34572468213156,18.06073953938995,39.5,107.25,67.75,False,76.25,76.25
5.0,20,28.5,36.13245428979231,12.421695911239613,16.0,59.0,43.0,False,23.5,23.5
5.0,21,34.25,41.9594655180602,14.857498727275603,17.0,68.75,51.75,False,29.25,29.25
5.0,22,31.5,39.48808075346237,13.931265637734638,16.5,65.0,48.5,False,26.5,26.5
5.0,23,40.25,45.73384851462073,16.17553134233268,18.0,74.5,56.5,False,35.25,35.25
5.0,24,25.5,31.735444909477458,10.29928109023146,15.25,51.0,35.75,False,20.5,20.5
5.0,25,30.25,38.25439858496747,13.354731017114783,16.5,62.75,46.25,False,25.25,25.25
5.0,26,34.5,42.37697690854866,15.08710986267503,17.25,69.75,52.5,False,29.5,29.5
5.0,27,28.25,35.557864497763546,12.134879558882083,16.0,58.0,42.0,False,23.25,23.25
5.0,28,27.75,34.80847776739209,11.749466029423424,16.0,56.75,40.75,False,22.75,22.75
5.0,29,38.25,44.76877117513174,15.846396382943995,17.75,73.0,55.25,False,33.25,33.25
5.0,30,63.5,58.73448442705274,18.574907596467266,23.25,90.5,67.25,False,58.5,58.5
5.0,31,30.25,38.171430920933545,13.36589215537748,16.25,62.5,46.25,False,25.25,25.25
5.0,32,32.25,40.1902072447267,14.141977451882108,16.75,66.0,49.25,False,27.25,27.25
5.0,33,37.25,44.28152470868222,15.797426519504423,17.5,72.5,55.0,False,32.25,32.25
5.0,34,26.0,32.34586662305579,10.513563539402352,15.5,52.0,36.5,False,21.0,21.0
5.0,35,27.25,34.0475955594289,11.337368737221947,15.75,55.0,39.25,False,22.25,22.25
5.0,36,31.25,39.23756878005879,13.69306172845822,16.75,64.25,47.5,False,26.25,26.25
5.0,37,67.25,61.692004242479605,19.012171473802226,25.0,94.25,69.25,False,62.25,62.25
5.0,38,52.5,51.6305607901571,17.438708363511545,20.0,81.75,61.75,False,47.5,47.5
5.0,39,32.5,40.3543146531405,14.209070593884725,16.75,66.25,49.5,False,27.5,27.5
5.0,40,30.5,38.29618601063415,13.301668437417177,16.5,62.75,46.25,False,25.5,25.5
5.0,41,27.75,34.7566584965854,11.701805329926191,16.0,56.5,40.5,False,22.75,22.75
5.0,42,72.5,66.32826002500668,18.83325179275773,29.0,98.75,69.75,False,67.5,67.5
5.0,43,29.75,37.553776210008614,13.054620660824234,16.25,61.5,45.25,False,24.75,24.75
5.0,44,46.0,48.50917407604477,16.85981628713376,18.75,78.0,59.25,False,41.0,41.0
5.0,45,48.75,49.67637474784666,17.0692840163682,19.25,79.5,60.25,False,43.75,43.75
5.0,46,31.5,39.77102750096396,14.067059529701998,16.75,65.5,48.75,False,26.5,26.5
5.0,47,39.0,45.239967395816706,16.02836886026811,17.75,73.75,56.0,False,34.0,34.0
5.0,48,84.75,79.38277207920682,17.234157227074746,45.75,110.0,64.25,False,79.75,79.75
5.0,49,75.25,69.03603623452136,18.602359741260788,32.0,101.5,69.5,False,70.25,70.25
5.0,50,29.25,36.95501617396634,12.733989512849444,16.25,60.5,44.25,False,24.25,24.25
5.0,51,49.75,50.42628105242857,17.336874578987526,19.5,80.75,61.25,False,44.75,44.75
5.0,52,25.0,30.54590221982904,9.47462728318595,15.25,48.25,33.0,False,20.0,20.0
5.0,53,29.5,37.077254883141975,12.817069870323994,16.25,60.75,44.5,False,24.5,24.5
5.0,54,41.75,46.5839085124916,16.472976838827456,18.0,75.75,57.75,False,36.75,36.75
5.0,55,27.0,33.48205472263734,11.040704541219815,15.75,54.0,38.25,False,22.0,22.0
5.0,56,25.25,30.77925463462198,9.691052626113507,15.25,48.75,33.5,False,20.25,20.25
5.0,57,52.75,51.96704911492753,17.83887052485913,19.75,83.0,63.25,False,47.75,47.75
5.0,58,80.5,74.5668992607801,17.888132704857572,39.0,106.0,67.0,False,75.5,75.5
5.0,59,54.0,52.63500787345902,17.734487833264538,20.25,83.25,63.0,False,49.0,49.0
5.0,60,28.0,35.20747333824951,11.978936714868903,16.0,57.5,41.5,False,23.0,23.0
5.0,61,68.75,62.99691424743111,18.814337012818918,26.25,95.25,69.0,False,63.75,63.75
5.0,62,25.5,31.261872588001317,9.949192832885196,15.25,49.75,34.5,False,20.5,20.5
5.0,63,69.0,63.16309190376716,18.623110699579467,26.75,95.25,68.5,False,64.0,64.0
5.0,64,41.75,46.53395975842519,16.389283587017545,18.25,75.75,57.5,False,36.75,36.75
5.0,65,24.75,29.967128621795325,9.151262563010812,15.25,47.0,31.75,False,19.75,19.75
5.0,66,32.25,40.37389698400188,14.30936753626434,16.75,66.5,49.75,False,27.25,27.25
5.0,67,24.25,28.979779489386672,8.553067619756613,15.25,45.0,29.75,False,19.25,19.25
5.0,68,29.75,37.54412349047349,13.095001240318972,16.25,61.75,45.5,False,24.75,24.75
5.0,69,71.25,65.05234704888706,18.74334930256752,28.0,97.25,69.25,False,66.25,66.25
5.0,70,58.0,55.18872553717122,18.473840210054448,21.0,87.0,66.0,False,53.0,53.0
5.0,71,36.25,43.47946900602333,15.413527672409987,17.5,71.25,53.75,False,31.25,31.25
5.0,72,36.25,43.52382584445647,15.483652184531602,17.5,71.5,54.0,False,31.25,31.25
5.0,73,24.0,28.833502697080892,8.62054277190704,15.0,45.0,30.0,False,19.0,19.0
5.0,74,30.0,37.56128065193894,12.953464489076936,16.5,61.5,45.0,False,25.0,25.0
5.0,75,26.0,32.27138859471733,10.45619830802725,15.5,51.75,36.25,False,21.0,21.0
5.0,76,32.5,40.48654198272719,14.278360539625622,16.75,66.5,49.75,False,27.5,27.5
5.0,77,30.75,38.820659687092935,13.576825921036237,16.5,63.75,47.25,False,25.75,25.75
5.0,78,97.0,93.10557190397876,15.102354925325631,64.5,120.0,55.5,False,92.0,92.0
5.0,79,28.0,35.3195581835239,12.026143354371722,16.0,57.75,41.75,False,23.0,23.0
5.0,80,36.0,43.29866829404114,15.318219965914158,17.5,71.0,53.5,False,31.0,31.0
5.0,81,25.75,31.59294346570161,10.03659275920558,15.5,50.25,34.75,False,20.75,20.75
5.0,82,60.75,56.83194877774672,18.56398499118955,22.0,88.75,66.75,False,55.75,55.75
5.0,83,34.25,42.12882082516689,15.042159097115286,17.0,69.25,52.25,False,29.25,29.25
5.0,84,33.25,41.44358830765075,14.805310681104375,16.75,68.25,51.5,False,28.25,28.25
5.0,85,40.5,45.82105216091733,16.145345980543944,18.0,74.5,56.5,False,35.5,35.5
5.0,86,62.25,57.76028168807406,18.58553615196574,22.5,89.5,67.0,False,57.25,57.25
5.0,87,40.5,46.02097193930377,16.230016845317568,18.0,74.75,56.75,False,35.5,35.5
5.0,88,44.75,47.79370697334154,16.65180378280623,18.5,77.0,58.5,False,39.75,39.75
5.0,89,46.75,48.88477710854304,17.02475763540455,18.75,78.75,60.0,False,41.75,41.75
5.0,90,39.5,45.37147887730118,16.004709430693943,18.0,74.0,56.0,False,34.5,34.5
5.0,91,67.25,61.62058544458607,18.639437983060947,25.25,93.5,68.25,False,62.25,62.25
5.0,92,26.5,33.0270229232202,10.833753437715778,15.75,53.25,37.5,False,21.5,21.5
5.0,93,29.25,36.996747618555844,12.84216664307416,16.25,60.75,44.5,False,24.25,24.25
5.0,94,70.75,64.66980585200106,18.72057794644142,27.75,97.0,69.25,False,65.75,65.75
5.0,95,89.0,84.0476478704096,16.59644229505983,52.0,113.5,61.5,False,84.0,84.0
5.0,96,25.75,31.8734693667607,10.283496536998433,15.5,51.25,35.75,False,20.75,20.75
5.0,97,56.25,54.05661721003828,18.261858396426742,20.5,85.5,65.0,False,51.25,51.25
5.0,98,24.75,29.907069561542848,9.117888800813468,15.25,47.0,31.75,False,19.75,19.75
5.0,99,70.5,64.43230581363834,19.17296877191983,26.75,97.25,70.5,False,65.5,65.5
10.0,0,28.25,34.05892084494901,10.627137845563759,16.5,53.75,37.25,False,18.25,18.25
10.0,1,36.75,41.280941813204855,13.36387565376216,18.25,65.25,47.0,False,26.75,26.75
10.0,2,33.5,39.1275532129161,12.643690958274748,17.75,62.25,44.5,False,23.5,23.5
10.0,3,41.25,43.904130009272244,14.18878316576781,18.75,69.0,50.25,False,31.25,31.25
10.0,4,29.5,35.38799593536208,11.184155854765617,16.75,56.0,39.25,False,19.5,19.5
10.0,5,28.75,34.7598269045029,10.922054775162922,16.75,55.0,38.25,False,18.75,18.75
10.0,6,84.5,81.27763185998822,12.811532193190653,57.0,104.25,47.25,False,74.5,74.5
10.0,7,47.5,47.20539410676929,14.848841943896351,20.25,73.25,53.0,False,37.5,37.5
10.0,8,63.75,58.922503172804035,15.97006371743134,27.5,86.75,59.25,False,53.75,53.75
10.0,9,30.5,36.63733600985787,11.807897463928462,17.0,58.25,41.25,False,20.5,20.5
10.0,10,25.0,29.621403333303142,8.54129366600358,15.75,45.75,30.0,False,15.0,15.0
10.0,11,44.75,45.82712487054401,14.568541088947498,19.75,71.5,51.75,False,34.75,34.75
10.0,12,31.75,37.856829100838574,12.257641015961106,17.25,60.25,43.0,False,21.75,21.75
10.0,13,52.5,50.31253074651097,15.340149177636,21.75,77.0,55.25,False,42.5,42.5
10.0,14,24.75,29.330098391149775,8.378417678843018,15.75,45.0,29.25,False,14.75,14.75
10.0,15,26.25,31.391058993979204,9.4489157087878,16.0,49.0,33.0,False,16.25,16.25
10.0,16,28.25,34.03699069808318,10.57764044208903,16.5,53.5,37.0,False,18.25,18.25
10.0,17,31.25,37.17968397076121,11.947081778956477,17.25,59.25,42.0,False,21.25,21.25
10.0,18,66.25,61.54468739869229,15.595850590284222,30.75,89.0,58.25,False,56.25,56.25
10.0,19,61.5,57.05027580639716,15.71894209453673,26.25,84.25,58.0,False,51.5,51.5
10.0,20,58.25,54.233819005336215,15.607651671367012,24.25,81.25,57.0,False,48.25,48.25
10.0,21,27.0,32.30499425696786,9.76796172266631,16.25,50.5,34.25,False,17.0,17.0
10.0,22,43.5,44.9902017166777,14.354316577202514,19.25,70.25,51.0,False,33.5,33.5
10.0,23,28.5,34.31127197463903,10.719100949910652,16.5,54.0,37.5,False,18.5,18.5
10.0,24,53.75,51.195328913415075,15.505178845607341,22.0,78.0,56.0,False,43.75,43.75
