theta_deg,posterior,rss
0.0,0.0,423993.0
0.25,0.0,236049.61239541607
0.5,0.0,235676.37545338564
0.75,0.0,234981.2277165761
1.0,0.0,233239.3544156686
1.25,0.0,229743.07018574618
1.5,0.0,223878.1280604017
1.75,0.0,215387.2278130661
2.0,0.0,204584.1562135603
2.25,0.0,192333.52702139947
2.5,0.0,179761.03907252153
2.75,0.0,167876.75654113627
3.0,0.0,157336.24702532048
3.25,0.0,148410.14037865045
3.5,0.0,141084.70516028092
3.75,0.0,135189.88333254622
4.0,0.0,130497.82194932812
4.25,0.0,126780.67900534748
4.5,0.0,123837.21214784589
4.75,0.0,121500.82727671124
5.0,0.0,119638.49934290873
5.25,0.0,118146.12220928358
5.5,0.0,116943.06331086095
5.75,0.0,115967.14233033924
6.0,0.0,115170.42838905181
6.25,0.0,114515.90152434848
6.5,0.0,113974.86138079519
6.75,0.0,113524.95526951161
7.0,0.0,113148.67974890629
7.25,0.0,112832.25254407717
7.5,0.0,112564.75725305115
7.75,0.0,112337.49679276464
8.0,0.0,112143.50214495067
8.25,0.0,111977.15709355113
8.5,0.0,111833.91016716056
8.75,0.0,111710.05298767576
9.0,0.0,111602.54850118415
9.25,0.0,111508.89676396584
9.5,0.0,111427.03005598928
9.75,0.0,111355.22995937284
10.0,0.0,111292.0623708698
10.25,0.0,111236.32508911518
10.5,0.0,111187.00610091398
10.75,0.0,111143.25034464733
11.0,0.0,111104.33238352503
11.25,0.0,111069.63472537743
11.5,4.34e-321,111038.62976496451
11.75,2.1687222280201718e-290,111010.86532011366
12.0,7.73604131969056e-263,110985.95248776308
12.25,4.606944617221335e-238,110963.55577604688
12.5,9.557303057783371e-216,110943.38496072456
12.75,1.3080562599040065e-195,110925.1882230108
13.0,2.0595053581999644e-177,110908.74642532709
13.25,6.060467238024467e-161,110893.86839691689
13.5,5.096074888023289e-146,110880.38696977653
13.75,1.7772213449937957e-132,110868.15551632992
14.0,3.5664554252444215e-120,110857.04519732145
14.25,5.495904545283701e-109,110846.94251826714
14.5,8.391917736333138e-99,110837.74724231474
14.75,1.5908555685910813e-89,110829.37073214154
15.0,4.573708023820917e-81,110821.73433354642
15.25,2.3819977271166923e-73,110814.76823449356
15.5,2.6327044215371815e-66,110808.41024883435
15.75,7.111480973104683e-60,110802.60493375565
16.0,5.326115631549089e-54,110797.30274612707
16.25,1.2382328603115265e-48,110792.45934622496
16.5,9.888410702772365e-44,110788.03497235914
16.75,2.970850330709093e-39,110783.99392949289
17.0,3.64426766169263e-35,110780.3040989131
17.25,1.9648878783744246e-31,110776.93654826068
17.5,4.976908977957942e-28,110773.8651728431
17.75,6.289256746232731e-25,110771.06637570733
18.0,4.186849717121855e-22,110768.51881352469
18.25,1.5425820815978754e-19,110766.20313748758
18.5,3.2894651091996397e-17,110764.10178957495
18.75,4.228424905473927e-15,110762.19882315933
19.0,3.400036189175884e-13,110760.47972392099
19.25,1.768810844552629e-11,110758.9312731318
19.5,6.139417985140813e-10,110757.54141421389
19.75,1.462247951641597e-08,110756.299133958
20.0,2.451948081717666e-07,110755.1943690732
20.25,2.9634743121211288e-06,110754.21790997859
20.5,2.6378145523901513e-05,110753.36131446442
20.75,0.00017636565793032052,110752.61684477108
21.0,0.000901965658678895,110751.9773897602
21.25,0.0035876420119236568,110751.43641855812
21.5,0.011270199707896824,110750.98792090098
21.75,0.02835872654741275,110750.62636601628
22.0,0.0579073333722619,110750.34664750064
22.25,0.09711527603622662,110750.14405949903
22.5,0.13525839280345786,110750.01425710716
22.75,0.15805832497508973,110749.95322196349
23.0,0.15644717589763332,110749.95723633358
23.25,0.13231948872941945,110750.02286425047
23.5,0.09641059045789409,110750.1469129154
23.75,0.06097435588312213,110750.32642634376
24.0,0.03370784196508097,110750.5586624429
24.25,0.016394721452230917,110750.84107006242
24.5,0.007058142098532641,110751.17128234077
24.75,0.0027047890954322172,110751.54709530104
25.0,0.0009274858998831328,110751.96645759797
25.25,0.0002859766110215925,110752.42745851999
25.5,7.964857106625339e-05,110752.92831675365
25.75,2.0122943997316553e-05,110753.46737117338
26.0,4.630085274188033e-06,110754.04307244316
26.25,9.738179116937955e-07,110754.65397095267
26.5,1.8787032440758597e-07,110755.29871362791
26.75,3.335283079321849e-08,110755.97603575134
27.0,5.46532105811323e-09,110756.68475204759
27.25,8.289652253960587e-10,110757.42375409859
27.5,1.1669336360514173e-10,110758.19200352277
27.75,1.5283567978284127e-11,110758.98852691619
28.0,1.8667464543222456e-12,110759.81241068698
28.25,2.1309722147295706e-13,110760.66279840056
28.5,2.2782110559301492e-14,110761.53888597968
28.75,2.2854516255430232e-15,110762.43991774949
29.0,2.1552553323745137e-16,110763.36518448393
29.25,1.9138858558080903e-17,110764.31401729421
29.5,1.602944733675981e-18,110765.28579004534
29.75,1.2681292408306117e-19,110766.2799103065
30.0,9.490006441415323e-21,110767.29582323827
30.25,6.726834596260049e-22,110768.33300317696
30.5,4.5221286014514623e-23,110769.39095744345
30.75,2.8865537557379068e-24,110770.46922042448
31.0,1.7514969945408484e-25,110771.56735198142
31.25,1.0113240464148888e-26,110772.68493925629
31.5,5.562337406425561e-28,110773.82159042591
31.75,2.9168879960243597e-29,110774.97693666845
32.0,1.4597038723436949e-30,110776.15062920417
32.25,6.976833636554775e-32,110777.34233832214
32.5,3.1874698405983236e-33,110778.55175281229
32.75,1.3930109002995455e-34,110779.77857851976
33.0,5.827650651770813e-36,110781.02253640525
33.25,2.3353686413273855e-37,110782.28336319263
33.5,8.97051135391732e-39,110783.56080958655
33.75,3.304768186993392e-40,110784.8546395147
34.0,1.1683553354653172e-41,110786.16462964826
34.25,3.966016909678013e-43,110787.49056800152
34.5,1.2933089937663488e-44,110788.8322543868
34.75,4.053492720933969e-46,110790.18949872785
35.0,1.2216201629119175e-47,110791.56212079432
35.25,3.541703402694256e-49,110792.94995012169
35.5,9.881841674014288e-51,110794.35282436904
35.75,2.6545036936399506e-52,110795.77059064346
36.0,6.867691874844616e-54,110797.20310304366
36.25,1.7118820223369584e-55,110798.65022356337
36.5,4.112617589921437e-57,110800.11182108097
36.75,9.525382406463827e-59,110801.58777149714
37.0,2.1276365042617867e-60,110803.07795684697
37.25,4.584460124218355e-62,110804.58226502838
37.5,9.53175507574027e-64,110806.1005899657
37.75,1.9127748203291183e-65,110807.63283078698
38.0,3.7056785376496594e-67,110809.17889182072
38.25,6.932437185559838e-69,110810.73868213128
38.5,1.2526055587807203e-70,110812.31211574393
38.75,2.1864741541853634e-72,110813.89911070361
39.0,3.687761037688205e-74,110815.49958924763
39.25,6.011067297623474e-76,110817.11347795022
39.5,9.470851085809721e-78,110818.7407067985
39.75,1.4426109914691493e-79,110820.381209385
40.0,2.124722975711149e-81,110822.03492307081
40.25,3.0263240076848018e-83,110823.70178779523
40.5,4.169188118102536e-85,110825.38174734032
40.75,5.556109488247836e-87,110827.07474788325
41.0,7.163582306528675e-89,110828.7807386319
41.25,8.936835249641286e-91,110830.49967154005
41.5,1.0789035224029742e-92,110832.23150086997
41.75,1.260594364788179e-94,110833.97618341038
42.0,1.425632535789757e-96,110835.73367860034
42.25,1.560712722673007e-98,110837.50394763879
42.5,1.6541034121176108e-100,110839.28695395589
42.75,1.6973267372926499e-102,110841.08266313805
43.0,1.6864287796301147e-104,110842.89104270958
43.25,1.6225763564296535e-106,110844.71206184145
43.5,1.5118526227057549e-108,110846.54569172818
43.75,1.3643062778281818e-110,110848.3919050654
44.0,1.192453528416349e-112,110850.25067624054
44.25,1.0095450095193555e-114,110852.12198107573
44.5,8.279232240471649e-117,110854.00579716207
44.75,6.577469357075751e-119,110855.90210325207
45.0,5.062380145176628e-121,110857.81087942945
45.25,3.7748421543127444e-123,110859.73210740078
45.5,2.727162462005442e-125,110861.66576970433
45.75,1.9090166893349015e-127,110863.61185043748
46.0,1.2948284041090939e-129,110865.57033464959
46.25,8.510094279774777e-132,110867.54120865226
46.5,5.419898896034744e-134,110869.52445955796
46.75,3.3450006521569578e-136,110871.5200757946
47.0,2.000608576282201e-138,110873.52804656682
47.25,1.1595793530792185e-140,110875.54836213007
47.5,6.513610704748703e-143,110877.58101363009
47.75,3.545975080327677e-145,110879.6259930926
48.0,1.8709012194551278e-147,110881.68329330109
48.25,9.566984481779467e-150,110883.7529079545
48.5,4.741494807928872e-152,110885.83483144792
48.75,2.2775999474768674e-154,110887.92905909347
49.0,1.0603934704779189e-156,110890.03558663558
49.25,4.785071725194502e-159,110892.15441082534
49.5,2.092885863527912e-161,110894.28552886227
49.75,8.87240436805995e-164,110896.42893873935
50.0,3.645676783291812e-166,110898.58463903313
50.25,1.4519707282849067e-168,110900.75262882316
50.5,5.605074628353933e-171,110902.93290794647
50.75,2.0972456162269236e-173,110905.12547665829
51.0,7.606086698053055e-176,110907.33033593628
51.25,2.6737245690584665e-178,110909.54748710903
51.5,9.109912454054275e-181,110911.77693206666
