stimulus_family,base_trial,stimulus,error_rate_Congruent,error_rate_Incongruent,mean_ms_Congruent,mean_ms_Incongruent,median_ms_Congruent,median_ms_Incongruent,n_trials_Congruent,n_trials_Incongruent,mean_diff_incong_minus_cong,median_diff_incong_minus_cong,error_rate_diff_incong_minus_cong
life-satisfaction statement,11,Minha vida está bem perto do meu ideal,0.36666666666666664,0.5388888888888889,3196.7166666666667,3513.4777777777776,2245.5,2670.5,180,180,316.76111111111095,425.0,0.17222222222222222
life-satisfaction statement,12,Minha vida está em condições ótimas,0.35555555555555557,0.4777777777777778,2560.838888888889,3233.55,2053.0,2521.0,180,180,672.7111111111112,468.0,0.12222222222222223
life-satisfaction statement,13,Sou bastante satisfeito com a minha vida,0.3055555555555556,0.49444444444444446,2514.7722222222224,3247.5833333333335,2021.0,2769.5,180,180,732.8111111111111,748.5,0.18888888888888888
life-satisfaction statement,14,Consegui o que eu queria na minha vida,0.37777777777777777,0.4777777777777778,2617.3722222222223,3145.738888888889,2222.5,2586.5,180,180,528.3666666666668,364.0,0.10000000000000003
life-satisfaction statement,15,"Se pudesse, eu não mudaria a minha vida",0.4722222222222222,0.45,4016.233333333333,4284.583333333333,3350.0,3260.0,180,180,268.3499999999999,-90.0,-0.0222222222222222
life-satisfaction statement,16,Minha vida não está perto do meu ideal,0.3388888888888889,0.45,3153.3,4533.211111111111,2796.0,3259.5,180,180,1379.9111111111106,463.5,0.1111111111111111
life-satisfaction statement,17,Minha vida não está em condições ótimas,0.2833333333333333,0.5166666666666667,3089.811111111111,3863.961111111111,2831.0,3109.5,180,180,774.1500000000001,278.5,0.2333333333333334
life-satisfaction statement,18,Não estou nada satisfeito com minha vida,0.18888888888888888,0.4888888888888889,2955.5222222222224,3337.9666666666667,2475.5,2586.0,180,180,382.44444444444434,110.5,0.3
life-satisfaction statement,19,Não consegui coisas que queria na vida,0.38333333333333336,0.4888888888888889,3469.25,3705.616666666667,2794.5,2845.0,180,180,236.3666666666668,50.5,0.10555555555555551
life-satisfaction statement,20,Mudaria toda a minha vida se eu pudesse,0.25555555555555554,0.49444444444444446,2806.038888888889,3231.688888888889,2546.0,2684.5,180,180,425.6500000000001,138.5,0.23888888888888893
logical-anchor,1,Estou na frente de um computador,0.05,0.7888888888888889,1750.3722222222223,2209.911111111111,1414.5,1857.5,180,180,459.5388888888888,443.0,0.7388888888888888
logical-anchor,2,Estou lendo uma frase em português,0.016666666666666666,0.7888888888888889,1855.911111111111,2497.1444444444446,1568.5,2229.0,180,180,641.2333333333336,660.5,0.7722222222222221
logical-anchor,3,Estou digitando minhas respostas com um teclado,0.03888888888888889,0.7388888888888889,2507.016666666667,2982.0222222222224,2041.5,2627.5,180,180,475.0055555555555,586.0,0.7000000000000001
logical-anchor,4,Estou fazendo um teste de psicologia,0.03333333333333333,0.7722222222222223,1849.05,2450.972222222222,1610.5,2013.0,180,180,601.9222222222222,402.5,0.7388888888888889
logical-anchor,5,Estou participando de um experimento,0.022222222222222223,0.7611111111111111,1895.5055555555555,2716.1277777777777,1494.5,2140.0,180,180,820.6222222222223,645.5,0.7388888888888888
logical-anchor,6,Estou na frente de uma geladeira,0.016666666666666666,0.7666666666666667,1961.7666666666667,2273.266666666667,1512.5,1944.5,180,180,311.5000000000002,432.0,0.75
logical-anchor,7,Estou lendo uma frase em irlandês,0.044444444444444446,0.7555555555555555,1871.35,2555.1222222222223,1533.0,2014.0,180,180,683.7722222222224,481.0,0.7111111111111111
logical-anchor,8,Estou fazendo um teste de matemática,0.027777777777777776,0.7777777777777778,1935.1277777777777,2247.1944444444443,1701.0,1952.5,180,180,312.0666666666666,251.5,0.75
logical-anchor,9,Estou digitando minhas respostas com uma lapiseira,0.022222222222222223,0.7388888888888889,2501.811111111111,2945.711111111111,2126.5,2348.0,180,180,443.9000000000001,221.5,0.7166666666666667
logical-anchor,10,Estou participando de uma festa,0.044444444444444446,0.7388888888888889,1799.9944444444445,2584.7166666666667,1549.0,1900.0,180,180,784.7222222222222,351.0,0.6944444444444445
