theta_deg,posterior,rss
0.0,0.0,1036830.0
0.25,0.0,723816.3020086569
0.5,0.0,723090.2945599749
0.75,0.0,720953.1060348863
1.0,0.0,715495.6515059764
1.25,0.0,704862.194714364
1.5,0.0,688038.8039041862
1.75,0.0,665725.012840563
2.0,0.0,640349.6649894938
2.25,0.0,614995.9590057936
2.5,0.0,592105.1515015066
2.75,0.0,572891.5638613419
3.0,0.0,557520.5064473548
3.25,0.0,545569.5584563769
3.5,0.0,536412.1966065511
3.75,0.0,529431.4942183429
4.0,0.0,524105.30885614787
4.25,0.0,520022.70424521185
4.5,0.0,516872.03323642595
4.75,0.0,514421.1732439152
5.0,0.0,512498.4752519564
5.25,0.0,510977.1091508841
5.5,0.0,509763.0630533383
5.75,0.0,508786.273485265
6.0,0.0,507994.1709283014
6.25,0.0,507347.01287309825
6.5,0.0,506814.51921573
6.75,0.0,506373.4345554686
7.0,0.0,506005.75958538405
7.25,0.0,505697.4554953092
7.5,0.0,505437.49051479716
7.75,0.0,505217.1349026351
8.0,0.0,505029.4318474056
8.25,0.0,504868.8018261803
8.5,0.0,504730.7417462773
8.75,0.0,504611.59495965857
9.0,0.0,504508.37619297183
9.25,0.0,504418.6341280119
9.5,1.9e-322,504340.3457777486
9.75,9.45546131163039e-286,504271.8334401648
10.0,1.569001216967682e-253,504211.69939306204
10.25,3.6026713708515096e-225,504158.7734544792
10.5,3.84304114723455e-200,504112.0719235169
10.75,5.293149132746979e-178,504070.7647998724
11.0,2.239405342528074e-158,504034.1485657641
11.25,6.083767658503555e-141,504001.62479672814
11.5,1.99146457220325e-125,503972.68282405054
11.75,1.3469045919913468e-111,503946.8851766549
12.0,2.9924582163818226e-99,503923.85579305666
12.25,3.2569813873277267e-88,503903.2705689394
12.5,2.4535290478721243e-78,503884.8492756288
12.75,1.7265651562041884e-69,503868.348804998
13.0,1.4732040249050253e-61,503853.5577240465
13.25,1.913346564943433e-54,503840.2917021874
13.5,4.6149859239425696e-48,503828.3895065426
13.75,2.460803616971699e-42,503817.7099058607
14.0,3.381138302637114e-37,503808.1287236749
14.25,1.3700402299620018e-32,503799.5366151418
14.5,1.8441463339242568e-28,503791.83711131755
14.75,9.162455504661494e-25,503784.94483880687
15.0,1.844833383205179e-21,503778.78410764784
15.25,1.6355115622722712e-18,503773.28772259795
15.5,6.873321471903519e-16,503768.39587253355
15.75,1.4625532531521905e-13,503764.05518371984
16.0,1.6711836746251093e-11,503760.2180290059
16.25,1.0808508200762313e-09,503756.8417698974
16.5,4.147979405798827e-08,503753.8881733876
16.75,9.85466388487606e-07,503751.32291483984
17.0,1.5056727593996533e-05,503749.11513178213
17.25,0.00015311740604923626,503747.23699765466
17.5,0.0010689877416469467,503745.66343277413
17.75,0.005269031307409181,503744.37176973955
18.0,0.018806088218987733,503743.3414971791
18.25,0.049732871119634814,503742.5540285085
18.5,0.09949683067146031,503741.99250129145
18.75,0.15346597608472276,503741.64159504115
19.0,0.18566228991418554,503741.4873784577
19.25,0.17896005329091047,503741.517150205
19.5,0.13941579596017067,503741.71934534726
19.75,0.08893342817241477,503742.0833854403
20.0,0.04701015116185395,503742.59961937834
20.25,0.02081786104556115,503743.25920184026
20.5,0.007800828815578527,503744.05403701356
20.75,0.00249624320625873,503744.9767022738
21.0,0.0006879122242056564,503746.02037699905
21.25,0.0001645268715056499,503747.1788014064
21.5,3.4394798808463044e-05,503748.4462065988
21.75,6.326166706381796e-06,503749.81729846844
22.0,1.0299338315829354e-06,503751.28717614256
22.25,1.492491362979597e-07,503752.8513413654
22.5,1.9350142441682058e-08,503754.5056258128
22.75,2.2552348919418776e-09,503756.2461792317
23.0,2.373231276453666e-10,503758.0694497812
23.25,2.264099192743048e-11,503759.97214469477
23.5,1.9656042029541803e-12,503761.9512104393
23.75,1.5583201579776229e-13,503764.00382350525
24.0,1.1318381323145981e-14,503766.12736125896
24.25,7.554171894405641e-16,503768.319385889
24.5,4.645977009663825e-17,503770.57763698767
24.75,2.6398728502630165e-18,503772.9000119461
25.0,1.3891719779413903e-19,503775.2845513753
25.25,6.78535515650831e-21,503777.7294353092
25.5,3.082778855700723e-22,503780.2329684405
25.75,1.305316352513263e-23,503782.79356592917
26.0,5.160399917014888e-25,503785.409754522
26.25,1.9080267053200406e-26,503788.0801564611
26.5,6.608599827021436e-28,503790.803485209
26.75,2.1473474749286245e-29,503793.5785408525
27.0,6.554905089824969e-31,503796.40419917775
27.25,1.8821937648693522e-32,503799.2794118901
27.5,5.09008991397774e-34,503802.2031927183
27.75,1.2979031542804083e-35,503805.17462410685
28.0,3.1237617833293083e-37,503808.1928433735
28.25,7.10340739479503e-39,503811.25704128377
28.5,1.527615280664053e-40,503814.3664629597
28.75,3.1095805784173114e-42,503817.52039670944
29.0,5.996368132747485e-44,503820.7181755821
29.25,1.0962474623327053e-45,503823.9591753443
29.5,1.9014230961667173e-47,503827.2428075287
29.75,3.131082036000619e-49,503830.56852159416
30.0,4.898185141787286e-51,503833.93579705537
30.25,7.283865126827313e-53,503837.3441482377
30.5,1.0301970583549152e-54,503840.79311765835
30.75,1.3865735594960145e-56,503844.2822725866
31.0,1.776834014689315e-58,503847.8112089179
31.25,2.1688887684749996e-60,503851.3795449196
31.5,2.522939418491777e-62,503854.98692215583
31.75,2.7979323055104213e-64,503858.63300257595
32.0,2.9593663217195446e-66,503862.3174694051
32.25,2.9864384421699372e-68,503866.04002104024
32.5,2.8764197331450306e-70,503869.8003775764
32.75,2.6450751054852916e-72,503873.598272786
33.0,2.322978516095849e-74,503877.4334568938
33.25,1.9489494482100226e-76,503881.3056943433
33.5,1.5625121901414461e-78,503885.2147635572
33.75,1.1973636132944954e-80,503889.1604558653
34.0,8.772317988064617e-83,503893.14257468027
34.25,6.145934590813011e-85,503897.16093512205
34.5,4.118517475385626e-87,503901.2153624514
34.75,2.6403494737581555e-89,503905.3056932036
35.0,1.6196935955246252e-91,503909.43177264393
35.25,9.508974357568258e-94,503913.5934554073
35.5,5.343640725477774e-96,503917.790605464
35.75,2.8748355634025157e-98,503922.0230942209
36.0,1.4809006705209832e-100,503926.2908013675
36.25,7.305292506820962e-103,503930.59361290745
36.5,3.4514779171299804e-105,503934.9314233307
36.75,1.5620063101366466e-107,503939.3041320931
37.0,6.772061419667685e-110,503943.7116464244
37.25,2.812983703437677e-112,503948.15387806844
37.5,1.119608432434232e-114,503952.6307451384
37.75,4.2703077078065856e-117,503957.14217123995
38.0,1.560936094752104e-119,503961.6880847805
38.25,5.468654144669289e-122,503966.2684187244
38.5,1.8364486687168544e-124,503970.88311129506
38.75,5.9116925963563344e-127,503975.5321042815
39.0,1.8243529372079688e-129,503980.21534406045
39.25,5.3975518517041927e-132,503984.9327812615
39.5,1.5310913390016463e-134,503989.6843695212
39.75,4.1643277911380296e-137,503994.4700664957
40.0,1.086049115658077e-139,503999.2898335685
40.25,2.7160301140628342e-142,504004.14363477146
40.5,6.513557247426442e-145,504009.0314375402
40.75,1.498017041326645e-147,504013.95321240474
41.0,3.304037819100161e-150,504018.9089326173
41.25,6.989024314443546e-153,504023.8985739009
41.5,1.4178922556336786e-155,504028.92211515293
41.75,2.7588998251588513e-158,504033.9795370792
42.0,5.1487771288012545e-161,504039.07082308957
42.25,9.216281056426285e-164,504044.19595929433
42.5,1.5823340240060885e-166,504049.35493295034
42.75,2.6057758672668346e-169,504054.54773465404
43.0,4.1160202563404466e-172,504059.7743558986
43.25,6.236246341032758e-175,504065.0347907236
43.5,9.063107986110675e-178,504070.3290349232
43.75,1.2634009734902194e-180,504075.65708578064
44.0,1.689336903448626e-183,504081.01894278196
44.25,2.166718434979171e-186,504086.41460674955
44.5,2.665626389609623e-189,504091.8440798025
44.75,3.145611268087277e-192,504097.30736605485
45.0,3.560552672107076e-195,504102.80447104736
45.25,3.865747168875779e-198,504108.33540133806
45.5,4.025773805424885e-201,504113.9001650859
45.75,4.021246485962461e-204,504119.4987717888
46.0,3.8526742288762435e-207,504125.13123214897
46.25,3.540366987681074e-210,504130.7975582497
46.5,3.120415705763071e-213,504136.49776284257
46.75,2.6378352684021507e-216,504142.23186039005
47.0,2.1386829745179e-219,504147.99986607337
47.25,1.6630313444563837e-222,504153.80179643957
47.5,1.240226879201749e-225,504159.6376687074
47.75,8.87031914010372e-229,504165.50750136934
48.0,6.0842213461441395e-232,504171.41131380084
48.25,4.0021030853798186e-235,504177.3491261336
48.5,2.524516832400026e-238,504183.3209596658
48.75,1.527087267570706e-241,504189.3268364109
49.0,8.857953775030786e-245,504195.36677926476
49.25,4.926912768421193e-248,504201.44081195234
49.5,2.6276999160887498e-251,504207.548958994
49.75,1.3437645383708071e-254,504213.69124573097
50.0,6.588761394940301e-258,504219.8676982664
50.25,3.097447419344995e-261,504226.0783433077
50.5,1.3960777643592481e-264,504232.32320834266
50.75,6.0326243844771e-268,504238.60232169705
51.0,2.4990747241215344e-271,504244.915712134
51.25,9.924605692336197e-275,504251.26340934506
51.5,3.778268892966384e-278,504257.64544351294
51.75,1.3788031829869702e-281,504264.0618453752
52.0,4.8230898279526514e-285,504270.51264639106
52.25,1.6171324209432688e-288,504276.9978786751
52.5,5.196921715334083e-292,504283.5175749138
52.75,1.6007004677468272e-295,504290.0717682702
53.0,4.72519730744788e-299,504296.66049242835
53.25,1.3367741142760053e-302,504303.28378192056
53.5,3.624152273101777e-306,504309.9416714683
53.75,9.41557553381895e-310,504316.6341966075
54.0,2.34401768803e-313,504323.3613931504
54.25,5.5915173e-317,504330.1232975994
54.5,1.278e-320,504336.91994680685
54.75,5e-324,504343.75137828756
55.0,0.0,504350.61762992234
55.25,0.0,504357.51874007634
55.5,0.0,504364.4547476043
55.75,0.0,504371.42569178017
56.0,0.0,504378.43161242455
56.25,0.0,504385.472549665
56.5,0.0,504392.5485443012
56.75,0.0,504399.6596371897
57.0,0.0,504406.8058699034
57.25,0.0,504413.9872844167
57.5,0.0,504421.2039229539
57.75,0.0,504428.45582829625
58.0,0.0,504435.74304357055
58.25,0.0,504443.06561237294
58.5,0.0,504450.4235784884
58.75,0.0,504457.81698636105
59.0,0.0,504465.24588063173
